Reservation,Date,Time,Courts,Ball Machine,Players
Court Reservation,"Mon, Dec 8th",7a - 9a,Court #3,,5
Private Groups,"Mon, Dec 8th",8a - 10a,"Championship Court #1, Court #10, Court #11, Court #12",,15
Court Reservation,"Mon, Dec 8th",8a - 10a,Court #2,,5
Court Reservation,"Mon, Dec 8th",8a - 10a,Court #5,,4
Private Groups,"Mon, Dec 8th",9a - 11a,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,16
Court Reservation,"Mon, Dec 8th",9:30a - 12p,Court #16 (Championship) ,,5
Private Groups,"Mon, Dec 8th",10a - 12p,"Court #2, Court #3, Court #4",,11
Adv Intermediate Open Play,"Mon, Dec 8th",10a - 12p,"Court #5, Court #12, Court #13, Court #14, Court #15",,24
Court Reservation,"Mon, Dec 8th",10a - 11:30a,Court #10,,2
Court Reservation,"Mon, Dec 8th",10a - 11a,Court #11,,2
Court Reservation,"Mon, Dec 8th",11a - 12p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",11a - 12p,Court #6 Pickleball or Backyard Games,,1
Advanced Open Play,"Mon, Dec 8th",11a - 1p,"Court #8, Court #9",,11
Court Reservation,"Mon, Dec 8th",11a - 1:30p,Court #11,,4
Court Reservation,"Mon, Dec 8th",11:30a - 12:30p,Court #10,,4
Court Reservation,"Mon, Dec 8th",12p - 1p,Championship Court #1,,1
Intermediate Open Play,"Mon, Dec 8th",12p - 2p,Court #5,,2
Private Lesson,"Mon, Dec 8th",1p - 2:30p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",1p - 2p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Mon, Dec 8th",2p - 5p,Court #2,,1
Adv Intermediate Open Play,"Mon, Dec 8th",2p - 4p,Court #4,,0
Court Reservation,"Mon, Dec 8th",2p - 4p,Court #9,,1
Private Lesson,"Mon, Dec 8th",3p - 4p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",3p - 5p,Court #5,,1
All Levels - Social Play,"Mon, Dec 8th",3p - 6p,"Court #7, Court #8",,0
Court Reservation,"Mon, Dec 8th",3p - 5p,Court #16 (Championship) ,,4
Advanced Open Play,"Mon, Dec 8th",4p - 6p,Court #3,,0
Court Reservation,"Mon, Dec 8th",4p - 5p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Mon, Dec 8th",4p - 6p,Court #10,,2
Adv Beginner Open Play,"Mon, Dec 8th",4p - 6p,Court #11,,0
Intermediate Open Play,"Mon, Dec 8th",4p - 6p,Court #12,,0
Adv Intermediate Open Play,"Mon, Dec 8th",4p - 6p,"Court #13, Court #14",,0
Court Reservation,"Mon, Dec 8th",4:30p - 5:30p,Court #15,,1
Private Lesson,"Mon, Dec 8th",5p - 6p,Championship Court #1,,4
Private Lesson,"Mon, Dec 8th",5p - 6p,Court #2,,1
Court Reservation,"Mon, Dec 8th",5p - 7p,Court #4,,1
Court Reservation,"Mon, Dec 8th",5p - 7p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Mon, Dec 8th",5:30p - 7p,Court #9,,1
Adv Beginner Open Play,"Mon, Dec 8th",6p - 8p,Championship Court #1,,6
Court Reservation,"Mon, Dec 8th",6p - 7p,Court #2,,4
Court Reservation,"Mon, Dec 8th",6p - 7p,Court #3,,2
Advanced Open Play,"Mon, Dec 8th",6p - 8p,"Court #5, Court #13, Court #14, Court #15",,18
Court Reservation,"Mon, Dec 8th",6p - 7p,Court #7,,5
Semi-Seasonal,"Mon, Dec 8th",6p - 8p,Court #10,,1
Adv Intermediate Open Play,"Mon, Dec 8th",6p - 8p,"Court #11, Court #12",,10
Court Reservation,"Mon, Dec 8th",6p - 8p,Court #16 (Championship) ,,1
Private Groups,"Mon, Dec 8th",7p - 9p,"Court #2, Court #3, Court #4",,0
Private Groups,"Mon, Dec 8th",7p - 9p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,18
Court Reservation,"Mon, Dec 8th",8p - 10p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",8p - 9p,Court #5,,4
Advanced Open Play,"Mon, Dec 8th",8p - 10p,"Court #10, Court #11, Court #12, Court #13",,10
Court Reservation,"Mon, Dec 8th",8p - 9:30p,Court #14,,1
Court Reservation,"Mon, Dec 8th",8p - 11p,Court #15,,1
Court Reservation,"Mon, Dec 8th",8p - 9p,Court #16 (Championship) ,,1
Adv Intermediate Open Play,"Mon, Dec 8th",9p - 11p,Court #7,,0
Badminton Reservation ,"Mon, Dec 8th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Mon, Dec 8th",10p - 12a,"Championship Court #1, Court #2",,0
Adv Intermediate Open Play,"Mon, Dec 8th",10p - 12a,"Court #3, Court #4",,0
Adv Intermediate Open Play,"Tue, Dec 9th",6a - 8a,Court #3,,0
Advanced Open Play,"Tue, Dec 9th",6a - 8a,"Court #4, Court #5",,0
Intermediate Open Play,"Tue, Dec 9th",6a - 8a,Court #6 Pickleball or Backyard Games,,0
Adv Beginner Open Play,"Tue, Dec 9th",6a - 8a,Court #7,,0
Private Groups,"Tue, Dec 9th",8a - 10a,Championship Court #1,,0
Adv Intermediate Open Play,"Tue, Dec 9th",8a - 10a,"Court #2, Court #3",,4
Advanced Open Play,"Tue, Dec 9th",8a - 10a,"Court #4, Court #5",,5
Intermediate Open Play,"Tue, Dec 9th",8a - 10a,Court #6 Pickleball or Backyard Games,,0
Adv Beginner Open Play,"Tue, Dec 9th",8a - 10a,Court #7,,0
Court Reservation,"Tue, Dec 9th",8a - 10a,Court #8,,1
Seasonal Court Reservation ,"Tue, Dec 9th",8a - 10a,Court #9,,4
Private Groups,"Tue, Dec 9th",8a - 10a,"Court #10, Court #11, Court #12",,0
Private Groups,"Tue, Dec 9th",9a - 11a,Court #13,,5
Seasonal Court Reservation ,"Tue, Dec 9th",9a - 11a,"Court #14, Court #15, Court #16 (Championship) ",,14
Intermediate Open Play,"Tue, Dec 9th",10a - 12p,Championship Court #1,,0
Private Groups,"Tue, Dec 9th",10a - 12p,"Court #2, Court #3, Court #4, Court #5, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #10, Court #11, Court #12",,33
Pro +4 ,"Tue, Dec 9th",12p - 1:30p,Championship Court #1,,4
Adv Intermediate Open Play,"Tue, Dec 9th",12p - 2p,Court #4,,1
Intermediate Open Play,"Tue, Dec 9th",12p - 2p,Court #10,,0
55+ Open Play,"Tue, Dec 9th",1p - 3p,"Court #2, Court #3",,0
Private Lesson,"Tue, Dec 9th",2p - 3:30p,Championship Court #1,,0
Adv Intermediate Open Play,"Tue, Dec 9th",2p - 4p,Court #4,,1
Advanced Open Play,"Tue, Dec 9th",2p - 4p,"Court #6 Pickleball or Backyard Games, Court #7",,0
All Levels - Social Play,"Tue, Dec 9th",3p - 6p,"Court #2, Court #3",,0
Advanced Open Play,"Tue, Dec 9th",4p - 6p,"Court #4, Court #5",,0
Adv Intermediate Open Play,"Tue, Dec 9th",4p - 6p,"Court #6 Pickleball or Backyard Games, Court #7",,0
Court Reservation,"Tue, Dec 9th",4p - 5p,Court #8,,2
Private Groups,"Tue, Dec 9th",4p - 6p,Court #10,,0
Intermediate Open Play,"Tue, Dec 9th",4p - 6p,Court #11,,0
Court Reservation,"Tue, Dec 9th",5p - 6p,Championship Court #1,,1
Private Groups,"Tue, Dec 9th",5p - 6:30p,"Court #8, Court #9",,1
Semi-Seasonal,"Tue, Dec 9th",5p - 7p,Court #16 (Championship) ,,1
Youth Open Play,"Tue, Dec 9th",5:30p - 6:30p,"Court #12, Court #13, Court #14, Court #15",,0
Private Lesson,"Tue, Dec 9th",6p - 7p,Championship Court #1,,1
Court Reservation,"Tue, Dec 9th",6p - 7p,Court #2,,1
Private Groups,"Tue, Dec 9th",6p - 8p,"Court #3, Court #4",,12
Cornhole Event ,"Tue, Dec 9th",6p - 11p,"Court #6 Pickleball or Backyard Games, Court #7",,0
Semi-Private,"Tue, Dec 9th",6p - 7p,Court #10,,2
Adv Intermediate Open Play,"Tue, Dec 9th",6p - 8p,Court #11,,5
Youth Open Play,"Tue, Dec 9th",6:30p - 7:30p,"Court #12, Court #13, Court #14, Court #15",,0
Seasonal Court Reservation ,"Tue, Dec 9th",7p - 9p,Championship Court #1,,2
Semi-Seasonal,"Tue, Dec 9th",7p - 9p,Court #2,,3
Private Groups,"Tue, Dec 9th",7p - 9p,Court #5,,5
Advanced Open Play,"Tue, Dec 9th",7p - 9p,"Court #8, Court #9, Court #16 (Championship) ",,12
Court Reservation,"Tue, Dec 9th",7p - 9p,Court #10,,1
Court Reservation,"Tue, Dec 9th",8p - 10p,Court #3,,1
Court Reservation,"Tue, Dec 9th",8p - 10p,Court #4,,1
Intermediate Open Play,"Tue, Dec 9th",8p - 10p,"Court #11, Court #12",,10
Advanced Open Play,"Tue, Dec 9th",8p - 10p,"Court #13, Court #14, Court #15",,0
Badminton Reservation ,"Tue, Dec 9th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Tue, Dec 9th",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Tue, Dec 9th",10p - 12a,Court #11,,0
Intermediate Open Play,"Tue, Dec 9th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Tue, Dec 9th",10p - 12a,"Court #14, Court #15",,0
Advanced Open Play,"Wed, Dec 10th",6a - 8a,Court #2,,0
Adv Intermediate Open Play,"Wed, Dec 10th",6a - 8a,Court #3,,0
Adv Beginner Open Play,"Wed, Dec 10th",6a - 8a,Court #4,,0
Intermediate Open Play,"Wed, Dec 10th",6a - 8a,Court #5,,0
Private Groups,"Wed, Dec 10th",8a - 10a,"Championship Court #1, Court #10, Court #11, Court #12",,2
Adv Intermediate Open Play,"Wed, Dec 10th",8a - 10a,"Court #2, Court #3",,10
Court Reservation,"Wed, Dec 10th",8a - 10a,Court #4,,5
Intermediate Open Play,"Wed, Dec 10th",8a - 10a,Court #5,,5
Court Reservation,"Wed, Dec 10th",8a - 10a,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Wed, Dec 10th",8a - 10a,Court #7,,2
Adv Beginner Open Play,"Wed, Dec 10th",8a - 10a,Court #14,,0
Private Groups,"Wed, Dec 10th",8a - 10a,"Court #15, Court #16 (Championship) ",,10
Seasonal Court Reservation ,"Wed, Dec 10th",9a - 11a,"Court #8, Court #9",,0
Court Reservation,"Wed, Dec 10th",10a - 12:30p,Championship Court #1,,5
Private Groups,"Wed, Dec 10th",10a - 12p,"Court #2, Court #3, Court #4, Court #5",,0
Court Reservation,"Wed, Dec 10th",10a - 11a,Court #10,,1
Intermediate Open Play,"Wed, Dec 10th",10a - 12p,"Court #12, Court #13",,9
Adv Intermediate Open Play,"Wed, Dec 10th",10a - 12p,"Court #14, Court #15",,4
Seasonal Court Reservation ,"Wed, Dec 10th",10a - 12p,Court #16 (Championship) ,,7
The Academy,"Wed, Dec 10th",11a - 1p,Court #6 Pickleball or Backyard Games,,0
Court Reservation,"Wed, Dec 10th",11a - 1p,"Court #7, Court #8",,1
Court Reservation,"Wed, Dec 10th",11a - 1p,Court #9,,1
Advanced Open Play,"Wed, Dec 10th",11a - 1p,"Court #10, Court #11",,5
Court Reservation,"Wed, Dec 10th",12p - 2p,"Court #4, Court #5",,7
Private Groups,"Wed, Dec 10th",12p - 2p,"Court #12, Court #13, Court #14, Court #15",,0
Court Reservation,"Wed, Dec 10th",12p - 2p,Court #16 (Championship) ,,2
Advanced Open Play,"Wed, Dec 10th",2p - 4p,"Court #10, Court #11",,0
Adv Beginner Open Play,"Wed, Dec 10th",2p - 4p,Court #12,,0
Intermediate Open Play,"Wed, Dec 10th",2p - 4p,Court #13,,0
Adv Intermediate Open Play,"Wed, Dec 10th",2p - 4p,"Court #14, Court #15",,1
All Levels - Social Play,"Wed, Dec 10th",3p - 6p,"Court #2, Court #3",,2
Court Reservation,"Wed, Dec 10th",3p - 4p,Court #5,,2
Court Reservation,"Wed, Dec 10th",4p - 7p,Court #7,,3
Advanced Open Play,"Wed, Dec 10th",4p - 6p,"Court #10, Court #11",,0
Adv Beginner Open Play,"Wed, Dec 10th",4p - 6p,Court #12,,0
Intermediate Open Play,"Wed, Dec 10th",4p - 6p,Court #13,,0
Adv Intermediate Open Play,"Wed, Dec 10th",4p - 6p,"Court #14, Court #15",,0
Seasonal Court Reservation ,"Wed, Dec 10th",5p - 7p,Court #16 (Championship) ,,1
Adv Intermediate Open Play,"Wed, Dec 10th",6p - 8p,Championship Court #1,,1
Private Lesson,"Wed, Dec 10th",6p - 7p,Court #2,,1
Private Groups,"Wed, Dec 10th",6p - 8p,Court #5,,1
Court Reservation,"Wed, Dec 10th",6p - 8p,Court #6 Pickleball or Backyard Games,,4
Advanced Open Play,"Wed, Dec 10th",6p - 8p,Court #8,,4
Intermediate Open Play,"Wed, Dec 10th",6p - 8p,Court #9,,0
Private Groups,"Wed, Dec 10th",7p - 9p,"Court #2, Court #3, Court #4",,0
Advanced Open Play,"Wed, Dec 10th",7p - 9p,Court #7,,4
Private Groups,"Wed, Dec 10th",7p - 9p,"Court #10, Court #11, Court #12, Court #13, Court #14, Court #15",,10
Adv Beginner Open Play,"Wed, Dec 10th",7p - 9p,Court #16 (Championship) ,,0
Court Reservation,"Wed, Dec 10th",8p - 11p,Championship Court #1,,1
Advanced Open Play,"Wed, Dec 10th",8p - 10p,"Court #5, Court #6 Pickleball or Backyard Games",,1
Adv Beginner Open Play,"Wed, Dec 10th",9p - 11p,Court #9,,0
Badminton Reservation ,"Wed, Dec 10th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Wed, Dec 10th",10p - 12a,"Court #4, Court #5",,0
Adv Beginner Open Play,"Wed, Dec 10th",10p - 12a,Court #11,,0
Intermediate Open Play,"Wed, Dec 10th",10p - 12a,Court #12,,0
Adv Intermediate Open Play,"Wed, Dec 10th",10p - 12a,"Court #14, Court #15",,0
Adv Intermediate Open Play,"Thu, Dec 11th",6a - 8a,Court #10,,0
Intermediate Open Play,"Thu, Dec 11th",6a - 8a,Court #11,,0
Adv Beginner Open Play,"Thu, Dec 11th",6a - 8a,Court #12,,0
Advanced Open Play,"Thu, Dec 11th",6a - 8a,Court #13,,0
Court Reservation,"Thu, Dec 11th",8a - 10a,Championship Court #1,,1
Intermediate Open Play,"Thu, Dec 11th",8a - 10a,Court #5,,0
Private Groups,"Thu, Dec 11th",8a - 10a,"Court #6 Pickleball or Backyard Games, Court #7",,0
Adv Intermediate Open Play,"Thu, Dec 11th",8a - 10a,"Court #10, Court #11",,4
Adv Beginner Open Play,"Thu, Dec 11th",8a - 10a,Court #12,,0
Advanced Open Play,"Thu, Dec 11th",8a - 10a,Court #13,,4
Private Groups,"Thu, Dec 11th",8a - 10a,"Court #14, Court #15, Court #16 (Championship) ",,13
Private Groups,"Thu, Dec 11th",9a - 11a,"Court #8, Court #9",,0
Court Reservation,"Thu, Dec 11th",10a - 12:30p,Championship Court #1,,5
Private Groups,"Thu, Dec 11th",10a - 12p,"Court #2, Court #3, Court #4, Court #5, Court #6 Pickleball or Backyard Games, Court #7, Court #10, Court #11, Court #12, Court #13, Court #14, Court #15, Court #16 (Championship) ",,0
Private Lesson,"Thu, Dec 11th",11a - 12p,Court #8,,0
Court Reservation,"Thu, Dec 11th",11a - 2p,Court #9,,1
Adv Intermediate Open Play,"Thu, Dec 11th",12p - 2p,Court #4,,0
Private Groups,"Thu, Dec 11th",12p - 2p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8",,0
Private Lesson,"Thu, Dec 11th",12p - 1p,Court #10,,1
Private Groups,"Thu, Dec 11th",12p - 2p,"Court #11, Court #12, Court #13, Court #14, Court #15",,0
Court Reservation,"Thu, Dec 11th",12:30p - 2p,Championship Court #1,,1
55+ Open Play,"Thu, Dec 11th",1p - 3p,"Court #2, Court #3",,0
Semi-Private,"Thu, Dec 11th",2p - 3p,Championship Court #1,,2
Adv Intermediate Open Play,"Thu, Dec 11th",2p - 4p,Court #4,,0
Advanced Open Play,"Thu, Dec 11th",2p - 4p,Court #9,,0
All Levels - Social Play,"Thu, Dec 11th",3p - 6p,"Court #2, Court #3",,0
Advanced Open Play,"Thu, Dec 11th",4p - 6p,"Court #4, Court #5",,1
Court Reservation,"Thu, Dec 11th",4p - 7p,Court #7,,3
Adv Beginner Open Play,"Thu, Dec 11th",4p - 6p,Court #11,,0
Intermediate Open Play,"Thu, Dec 11th",4p - 6p,Court #12,,1
Adv Intermediate Open Play,"Thu, Dec 11th",4p - 6p,Court #15,,0
Court Reservation,"Thu, Dec 11th",5p - 6p,Championship Court #1,,1
Court Reservation,"Thu, Dec 11th",5p - 6p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Thu, Dec 11th",5p - 7p,Court #9,,4
Adv Beginner Open Play,"Thu, Dec 11th",5p - 7p,Court #13,,0
Court Reservation,"Thu, Dec 11th",5p - 7p,Court #14,,4
Semi-Seasonal,"Thu, Dec 11th",6p - 8p,"Court #2, Court #3, Court #4",,1
Court Reservation,"Thu, Dec 11th",6p - 7p,Court #5,,1
Cornhole Event ,"Thu, Dec 11th",6p - 11p,Court #6 Pickleball or Backyard Games,,0
Private Groups,"Thu, Dec 11th",6p - 8p,Court #10,,6
Court Reservation,"Thu, Dec 11th",6p - 8p,Court #11,,1
Semi-Seasonal,"Thu, Dec 11th",6:30p - 8:30p,"Court #15, Court #16 (Championship) ",,1
All Levels - Social Play,"Thu, Dec 11th",7p - 8p,Court #5,,3
Court Reservation,"Thu, Dec 11th",7p - 9p,Court #7,,4
Private Groups,"Thu, Dec 11th",7p - 9p,"Court #12, Court #13",,0
Court Reservation,"Thu, Dec 11th",7p - 9p,Court #14,,1
Advanced Open Play,"Thu, Dec 11th",8p - 10p,"Championship Court #1, Court #2",,8
All Levels - Social Play,"Thu, Dec 11th",8p - 10p,"Court #3, Court #4, Court #5",,5
Adv Intermediate Open Play,"Thu, Dec 11th",8p - 10p,"Court #8, Court #9",,3
Court Reservation,"Thu, Dec 11th",8p - 10p,Court #10,,1
Intermediate Open Play,"Thu, Dec 11th",8p - 10p,Court #11,,0
Badminton Reservation ,"Thu, Dec 11th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Thu, Dec 11th",10p - 12a,"Court #4, Court #5",,1
Intermediate Open Play,"Thu, Dec 11th",10p - 12a,Court #11,,0
Adv Beginner Open Play,"Thu, Dec 11th",10p - 12a,Court #13,,0
Adv Intermediate Open Play,"Thu, Dec 11th",10p - 12a,"Court #14, Court #15",,0
Adv Beginner Open Play,"Fri, Dec 12th",6a - 8a,Court #8,,0
Adv Intermediate Open Play,"Fri, Dec 12th",6a - 8a,Court #11,,2
Intermediate Open Play,"Fri, Dec 12th",6a - 8a,Court #12,,0
Advanced Open Play,"Fri, Dec 12th",6a - 8a,Court #13,,0
Court Reservation,"Fri, Dec 12th",7a - 9a,Court #16 (Championship) ,,3
Private Groups,"Fri, Dec 12th",8a - 10a,"Championship Court #1, Court #10, Court #11",,2
Private Groups,"Fri, Dec 12th",8a - 10a,Court #5,,6
Private Groups,"Fri, Dec 12th",8a - 10a,"Court #6 Pickleball or Backyard Games, Court #7",,0
Adv Beginner Open Play,"Fri, Dec 12th",8a - 10a,Court #8,,0
Intermediate Open Play,"Fri, Dec 12th",8a - 10a,Court #12,,0
Adv Intermediate Open Play,"Fri, Dec 12th",8a - 10a,"Court #14, Court #15",,6
Court Reservation,"Fri, Dec 12th",9a - 11a,"Court #2, Court #3, Court #4",,21
Private Lesson,"Fri, Dec 12th",9a - 10a,Court #9,,1
Private Groups,"Fri, Dec 12th",9a - 11a,Court #16 (Championship) ,,0
Court Reservation,"Fri, Dec 12th",10a - 12:30p,Championship Court #1,,5
Private Groups,"Fri, Dec 12th",10a - 12p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,0
Private Groups,"Fri, Dec 12th",10a - 12p,"Court #10, Court #11, Court #12, Court #13",,0
Adult Clinic,"Fri, Dec 12th",11a - 2p,"Court #2, Court #3, Court #4, Court #14, Court #15, Court #16 (Championship) ",,1
Private Lesson,"Fri, Dec 12th",11a - 12:30p,Court #5,,1
Adv Intermediate Open Play,"Fri, Dec 12th",12p - 2p,Court #6 Pickleball or Backyard Games,,0
Court Reservation,"Fri, Dec 12th",12p - 2p,Court #13,,1
Court Reservation,"Fri, Dec 12th",1p - 3p,Court #10,,2
Corporate Event ,"Fri, Dec 12th",2p - 6p,"Championship Court #1, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #16 (Championship) ",,0
Advanced Open Play,"Fri, Dec 12th",2p - 4p,"Court #2, Court #3",,2
Adv Intermediate Open Play,"Fri, Dec 12th",2p - 4p,Court #4,,0
Court Reservation,"Fri, Dec 12th",2p - 3p,Court #5,,1
Adv Beginner Open Play,"Fri, Dec 12th",2p - 4p,Court #14,,0
Intermediate Open Play,"Fri, Dec 12th",2p - 4p,Court #15,,0
Private Lesson,"Fri, Dec 12th",3p - 4p,Court #5,,1
Intermediate Open Play,"Fri, Dec 12th",3p - 5p,Court #12,,0
Advanced Open Play,"Fri, Dec 12th",4p - 6p,Court #2,,1
Adv Intermediate Open Play,"Fri, Dec 12th",4p - 6p,Court #4,,0
Court Reservation,"Fri, Dec 12th",4p - 6p,Court #5,,3
Adv Intermediate Open Play,"Fri, Dec 12th",4p - 6p,"Court #14, Court #15",,0
All Levels - Social Play,"Fri, Dec 12th",5p - 7p,"Court #10, Court #11, Court #12, Court #13",,0
Adv Intermediate Open Play,"Fri, Dec 12th",6p - 8p,Court #4,,4
Court Reservation,"Fri, Dec 12th",6p - 7p,Court #6 Pickleball or Backyard Games,,2
ADULT Birthday Party Package! ,"Fri, Dec 12th",7p - 10p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,2
Court Reservation,"Fri, Dec 12th",7p - 9p,Court #10,,1
Private Groups,"Fri, Dec 12th",7p - 9p,"Court #11, Court #12, Court #13, Court #14, Court #15",,3
Court Reservation,"Fri, Dec 12th",8p - 12a,"Championship Court #1, Court #2, Court #3, Court #4, Court #5, Court #16 (Championship) ",,1
Adv Intermediate Open Play,"Sat, Dec 13th",7a - 9a,"Court #12, Court #13",,6
Private Groups,"Sat, Dec 13th",8a - 10a,"Court #2, Court #3",,0
Private Groups,"Sat, Dec 13th",8a - 10a,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,26
Court Reservation,"Sat, Dec 13th",8a - 9a,Court #10,,1
Court Reservation,"Sat, Dec 13th",8a - 10a,Court #11,,1
Court Reservation,"Sat, Dec 13th",9a - 11a,Championship Court #1,,1
Court Reservation,"Sat, Dec 13th",9a - 11a,Court #4,,4
Private Groups,"Sat, Dec 13th",9a - 11a,"Court #5, Court #14, Court #15, Court #16 (Championship) ",,1
Intermediate Open Play,"Sat, Dec 13th",9a - 11a,Court #10,,4
Adv Intermediate Open Play,"Sat, Dec 13th",9a - 11a,Court #12,,5
Court Reservation,"Sat, Dec 13th",9a - 11a,Court #13,,6
Court Reservation,"Sat, Dec 13th",10a - 11a,Court #11,,1
Court Reservation,"Sat, Dec 13th",11a - 6p,"Championship Court #1, Court #2, Court #3, Court #4, Court #5, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #10, Court #11, Court #12, Court #13, Court #14, Court #15, Court #16 (Championship) ",,1
Court Reservation,"Sat, Dec 13th",5p - 8p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8",,1
Private Groups,"Sat, Dec 13th",5p - 7p,"Court #12, Court #13, Court #14",,1
Court Reservation,"Sat, Dec 13th",6p - 9p,Championship Court #1,,1
Advanced Open Play,"Sat, Dec 13th",6p - 8p,"Court #4, Court #5",,0
Court Reservation,"Sat, Dec 13th",6p - 8p,Court #9,,3
Adv Beginner Open Play,"Sat, Dec 13th",6p - 8p,Court #11,,0
Adv Intermediate Open Play,"Sat, Dec 13th",6p - 8p,"Court #15, Court #16 (Championship) ",,0
Adv Beginner Open Play,"Sat, Dec 13th",7p - 8:59p,Court #10,,0
Intermediate Open Play,"Sat, Dec 13th",7p - 9p,Court #12,,0
Advanced Open Play,"Sat, Dec 13th",8p - 10p,"Court #4, Court #5",,0
Court Reservation,"Sat, Dec 13th",9p - 12a,"Championship Court #1, Court #2, Court #3, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #10, Court #11, Court #12, Court #13",,1
Court Reservation,"Sat, Dec 13th",9p - 11p,"Court #14, Court #15",,1
Advanced Open Play,"Sat, Dec 13th",10p - 12a,"Court #4, Court #5",,0
Adv Intermediate Open Play,"Sat, Dec 13th",10p - 12a,Court #16 (Championship) ,,0
The Academy,"Sun, Dec 14th",8a - 10a,"Championship Court #1, Court #11, Court #12, Court #13, Court #14, Court #15, Court #16 (Championship) ",,17
Private Groups,"Sun, Dec 14th",8a - 10a,"Court #2, Court #3",,0
Court Reservation,"Sun, Dec 14th",8a - 10:30a,"Court #5, Court #6 Pickleball or Backyard Games, Court #7, Court #10",,0
Semi-Seasonal,"Sun, Dec 14th",8a - 10a,"Court #8, Court #9",,1
Court Reservation,"Sun, Dec 14th",9a - 11a,Court #4,,1
The Academy,"Sun, Dec 14th",10a - 12p,"Championship Court #1, Court #11, Court #12, Court #13, Court #14, Court #15",,20
Private Groups,"Sun, Dec 14th",10a - 12p,"Court #8, Court #9",,0
Seasonal Court Reservation ,"Sun, Dec 14th",10a - 11:30a,Court #16 (Championship) ,,1
Court Reservation,"Sun, Dec 14th",10:30a - 12p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Sun, Dec 14th",10:30a - 12p,Court #10,,1
Court Reservation,"Sun, Dec 14th",11a - 1p,Court #4,,1
Adult Clinic,"Sun, Dec 14th",11a - 1p,Court #5,,6
Court Reservation,"Sun, Dec 14th",11a - 2p,Court #7,,3
Court Reservation,"Sun, Dec 14th",12p - 1p,Championship Court #1,,1
Court Reservation,"Sun, Dec 14th",12p - 2p,Court #6 Pickleball or Backyard Games,,4
Private Groups,"Sun, Dec 14th",12p - 2p,"Court #8, Court #9",,0
Court Reservation,"Sun, Dec 14th",12p - 2p,Court #10,,1
Court Reservation,"Sun, Dec 14th",1p - 7p,"Championship Court #1, Court #2, Court #3, Court #4, Court #5, Court #11, Court #12, Court #13, Court #14",,0
Court Reservation,"Sun, Dec 14th",1p - 3p,"Court #15, Court #16 (Championship) ",,1
CHILDREN'S BIRTHDAY PARTY PACKAGE! 60 minutes on the court,"Sun, Dec 14th",2p - 3p,"Court #6 Pickleball or Backyard Games, Court #7",,1
Court Reservation,"Sun, Dec 14th",2p - 7p,"Court #8, Court #9, Court #10",,1
Court Reservation,"Sun, Dec 14th",3p - 5p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Sun, Dec 14th",3p - 5p,Court #7,,1
Court Reservation,"Sun, Dec 14th",3p - 5p,"Court #15, Court #16 (Championship) ",,1
Court Reservation,"Sun, Dec 14th",5p - 8p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Sun, Dec 14th",5p - 8p,Court #7,,2
Court Reservation,"Sun, Dec 14th",5p - 7p,"Court #15, Court #16 (Championship) ",,1
Advanced Open Play,"Sun, Dec 14th",7p - 9p,"Court #2, Court #3",,0
Court Reservation,"Sun, Dec 14th",7p - 9p,Court #4,,1
Intermediate Open Play,"Sun, Dec 14th",7p - 9p,Court #8,,2
Adv Beginner Open Play,"Sun, Dec 14th",7p - 9p,Court #9,,0
Adv Intermediate Open Play,"Sun, Dec 14th",7p - 9p,"Court #14, Court #15",,0
Advanced Open Play,"Sun, Dec 14th",8p - 10p,"Court #6 Pickleball or Backyard Games, Court #7",,0
Intermediate Open Play,"Sun, Dec 14th",8p - 10p,Court #10,,0
